"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,16,2,26.13,0,231.35,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,16,3,66.85,0,18.03,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
